(90.603489+229.754112j),(89.4781441+229.8469756j),(88.3527992+229.9398392j),(87.2274543+230.0327028j),(86.1021094+230.1255664j),(84.9767645+230.21843j),(83.8514196+230.3112936j),(82.7260747+230.4041572j),(81.6007298+230.4970208j),(80.4753849+230.5898844j),(79.35004+230.682748j),
(89.056233+38.324692j),(87.5153035+39.3640083j),(85.974374+40.4033246j),(84.4334445+41.4426409j),(82.892515+42.4819572j),(81.3515855+43.5212735j),(79.810656+44.5605898j),(78.2697265+45.5999061j),(76.728797+46.6392224j),(75.1878675+47.6785387j),(73.646938+48.717855j),
(73.194358+46.088931j),(74.9115939+44.8121122j),(76.6288298+43.5352934j),(78.3460657+42.2584746j),(80.0633016+40.9816558j),(81.7805375+39.704837j),(83.4977734+38.4280182j),(85.2150093+37.1511994j),(86.9322452+35.8743806j),(88.6494811+34.5975618j),(90.366717+33.320743j),
(73.853283+373.997962j),(75.4721289+371.9125918j),(77.0909748+369.8272216j),(78.7098207+367.7418514j),(80.3286666+365.6564812j),(81.9475125+363.571111j),(83.5663584+361.4857408j),(85.1852043+359.4003706j),(86.8040502+357.3150004j),(88.4228961+355.2296302j),(90.041742+353.14426j),
(70.364238+503.287622j),(71.0412042+506.0424303j),(71.7181704+508.7972386j),(72.3951366+511.5520469j),(73.0721028+514.3068552j),(73.749069+517.0616635j),(74.4260352+519.8164718j),(75.1030014+522.5712801j),(75.7799676+525.3260884j),(76.4569338+528.0808967j),(77.1339+530.835705j),
(88.917057+362.815201j),(87.5668712+364.6016944j),(86.2166854+366.3881878j),(84.8664996+368.1746812j),(83.5163138+369.9611746j),(82.166128+371.747668j),(80.8159422+373.5341614j),(79.4657564+375.3206548j),(78.1155706+377.1071482j),(76.7653848+378.8936416j),(75.415199+380.680135j),
(74.401366+224.257239j),(75.7264078+223.7188727j),(77.0514496+223.1805064j),(78.3764914+222.6421401j),(79.7015332+222.1037738j),(81.026575+221.5654075j),(82.3516168+221.0270412j),(83.6766586+220.4886749j),(85.0017004+219.9503086j),(86.3267422+219.4119423j),(87.651784+218.873576j),
(86.44087+252.149843j),(85.133496+252.0308843j),(83.826122+251.9119256j),(82.518748+251.7929669j),(81.211374+251.6740082j),(79.904+251.5550495j),(78.596626+251.4360908j),(77.289252+251.3171321j),(75.981878+251.1981734j),(74.674504+251.0792147j),(73.36713+250.960256j),
(77.465358+319.556437j),(78.5037792+320.1938437j),(79.5422004+320.8312504j),(80.5806216+321.4686571j),(81.6190428+322.1060638j),(82.657464+322.7434705j),(83.6958852+323.3808772j),(84.7343064+324.0182839j),(85.7727276+324.6556906j),(86.8111488+325.2930973j),(87.84957+325.930504j),
(80.129163+154.095837j),(80.4116395+154.5355701j),(80.694116+154.9753032j),(80.9765925+155.4150363j),(81.259069+155.8547694j),(81.5415455+156.2945025j),(81.824022+156.7342356j),(82.1064985+157.1739687j),(82.388975+157.6137018j),(82.6714515+158.0534349j),(82.953928+158.493168j),
(87.828538+328.512514j),(87.3785382+328.3627984j),(86.9285384+328.2130828j),(86.4785386+328.0633672j),(86.0285388+327.9136516j),(85.578539+327.763936j),(85.1285392+327.6142204j),(84.6785394+327.4645048j),(84.2285396+327.3147892j),(83.7785398+327.1650736j),(83.32854+327.015358j),
(82.914583+326.940096j),(82.2233432+326.4282651j),(81.5321034+325.9164342j),(80.8408636+325.4046033j),(80.1496238+324.8927724j),(79.458384+324.3809415j),(78.7671442+323.8691106j),(78.0759044+323.3572797j),(77.3846646+322.8454488j),(76.6934248+322.3336179j),(76.002185+321.821787j),
(90.219174+536.192354j),(89.33473+537.1110591j),(88.450286+538.0297642j),(87.565842+538.9484693j),(86.681398+539.8671744j),(85.796954+540.7858795j),(84.91251+541.7045846j),(84.028066+542.6232897j),(83.143622+543.5419948j),(82.259178+544.4606999j),(81.374734+545.379405j),
(72.519119+204.585828j),(73.6520068+204.3334654j),(74.7848946+204.0811028j),(75.9177824+203.8287402j),(77.0506702+203.5763776j),(78.183558+203.324015j),(79.3164458+203.0716524j),(80.4493336+202.8192898j),(81.5822214+202.5669272j),(82.7151092+202.3145646j),(83.847997+202.062202j),
(73.185512+155.28891j),(73.774936+154.7767389j),(74.36436+154.2645678j),(74.953784+153.7523967j),(75.543208+153.2402256j),(76.132632+152.7280545j),(76.722056+152.2158834j),(77.31148+151.7037123j),(77.900904+151.1915412j),(78.490328+150.6793701j),(79.079752+150.167199j),
(73.401551+244.639758j),(74.0577203+245.10198j),(74.7138896+245.564202j),(75.3700589+246.026424j),(76.0262282+246.488646j),(76.6823975+246.950868j),(77.3385668+247.41309j),(77.9947361+247.875312j),(78.6509054+248.337534j),(79.3070747+248.799756j),(79.963244+249.261978j),
(81.908198+159.496895j),(80.9475728+160.0636354j),(79.9869476+160.6303758j),(79.0263224+161.1971162j),(78.0656972+161.7638566j),(77.105072+162.330597j),(76.1444468+162.8973374j),(75.1838216+163.4640778j),(74.2231964+164.0308182j),(73.2625712+164.5975586j),(72.301946+165.164299j),
(88.478159+526.724649j),(87.378828+526.6177673j),(86.279497+526.5108856j),(85.180166+526.4040039j),(84.080835+526.2971222j),(82.981504+526.1902405j),(81.882173+526.0833588j),(80.782842+525.9764771j),(79.683511+525.8695954j),(78.58418+525.7627137j),(77.484849+525.655832j),
