(88.001418+368.980562j),(87.8082718853+368.987330213j),(87.6151206825+368.993951632j),(87.4219645032+369.000426254j),(87.228803459+369.006754075j),(87.0356376614+369.012935092j),(86.8424672219+369.0189693j),(86.6492922523+369.024856697j),(86.456112864+369.030597278j),(86.2629291687+369.036191041j),(86.0697412779+369.041637983j),(85.8765493031+369.046938099j),(85.6833533561+369.052091388j),(85.4901535484+369.057097846j),(85.2969499915+369.06195747j),(85.1037427971+369.066670258j),(84.9105320768+369.071236206j),(84.7173179422+369.075655313j),(84.5241005048+369.079927575j),(84.3308798763+369.08405299j),(84.1376561682+369.088031556j),(83.9444294923+369.091863271j),(83.7511999601+369.095548131j),(83.5579676831+369.099086136j),(83.3647327731+369.102477282j),(83.1714953416+369.105721569j),(82.9782555002+369.108818994j),(82.7850133606+369.111769555j),(82.5917690344+369.114573252j),(82.3985226331+369.117230081j),(82.2052742685+369.119740041j),(82.0120240521+369.122103132j),(81.8187720956+369.124319352j),(81.6255185105+369.126388698j),(81.4322634086+369.128311172j),(81.2390069014+369.13008677j),(81.0457491005+369.131715493j),(80.8524901176+369.133197338j),(80.6592300643+369.134532306j),(80.4659690523+369.135720396j),(80.2727071931+369.136761606j),(80.0794445984+369.137655937j),(79.8861813799+369.138403387j),(79.6929176491+369.139003957j),(79.4996535176+369.139457646j),(79.3063890972+369.139764453j),(79.1131244994+369.139924379j),(78.9198598359+369.139937423j),(78.7265952183+369.139803586j),(78.5333307582+369.139522868j),(78.3400665673+369.139095268j),(78.1468027572+369.138520787j),(77.9535394395+369.137799425j),(77.7602767258+369.136931183j),(77.5670147279+369.135916061j),(77.3737535572+369.134754059j),(77.1804933255+369.13344518j),(76.9872341443+369.131989422j),(76.7939761254+369.130386787j),(76.6007193802+369.128637277j),(76.4074640205+369.126740891j),(76.2142101579+369.124697631j),(76.020957904+369.122507499j),(75.8277073703+369.120170495j),(75.6344586687+369.117686621j),(75.4412119105+369.115055878j),(75.2479672076+369.112278268j),(75.0547246715+369.109353793j),(74.8614844137+369.106282453j),(74.668246546+369.103064252j),(74.47501118+369.09969919j),(74.2817784272+369.09618727j),(74.0885483993+369.092528493j),(73.8953212079+369.088722863j),(73.7020969645+369.08477038j),(73.5088757809+369.080671048j),(73.3156577686+369.076424868j),(73.1224430391+369.072031843j),(72.9292317042+369.067491977j),(72.7360238754+369.06280527j),(72.5428196643+369.057971726j),(72.3496191825+369.052991348j),(72.1564225416+369.047864139j),(71.9632298532+369.042590102j),(71.7700412288+369.037169239j),(71.5768567802+369.031601554j),(71.3836766187+369.025887049j),(71.1905008561+369.02002573j),(70.9973296039+369.014017597j),(70.8041629737+369.007862656j),(70.611001077+369.00156091j),(70.4178440255+368.995112362j),(70.2246919306+368.988517017j),(70.031544904+368.981774877j),(69.8384030572+368.974885946j),(69.6452665019+368.96785023j),(69.4521353494+368.960667732j),(69.2590097114+368.953338455j),(69.0658896995+368.945862405j),(68.8727754252+368.938239585j),
(70.49617+355.247588j),(72.2972727+355.220256j),(74.0983754+355.192924j),(75.8994781+355.165592j),(77.7005808+355.13826j),(79.5016835+355.110928j),(81.3027862+355.083596j),(83.1038889+355.056264j),(84.9049916+355.028932j),(86.7060943+355.0016j),(88.507197+354.974268j),
(72.074789+67.214794j),(71.7808576+67.6530127j),(71.4869262+68.0912314j),(71.1929948+68.5294501j),(70.8990634+68.9676688j),(70.605132+69.4058875j),(70.3112006+69.8441062j),(70.0172692+70.2823249j),(69.7233378+70.7205436j),(69.4294064+71.1587623j),(69.135475+71.596981j),
(84.57274+59.59582j),(83.3933001+60.4911748j),(82.2138602+61.3865296j),(81.0344203+62.2818844j),(79.8549804+63.1772392j),(78.6755405+64.072594j),(77.4961006+64.9679488j),(76.3166607+65.8633036j),(75.1372208+66.7586584j),(73.9577809+67.6540132j),(72.778341+68.549368j),
(88.480228+358.317453j),(86.6788631+358.2738833j),(84.8774982+358.2303136j),(83.0761333+358.1867439j),(81.2747684+358.1431742j),(79.4734035+358.0996045j),(77.6720386+358.0560348j),(75.8706737+358.0124651j),(74.0693088+357.9688954j),(72.2679439+357.9253257j),(70.466579+357.881756j),
(75.568371+62.592556j),(76.4204818+61.9630996j),(77.2725926+61.3336432j),(78.1247034+60.7041868j),(78.9768142+60.0747304j),(79.828925+59.445274j),(80.6810358+58.8158176j),(81.5331466+58.1863612j),(82.3852574+57.5569048j),(83.2373682+56.9274484j),(84.089479+56.297992j),
(79.93094+593.230273j),(78.761561+595.6973883j),(77.592182+598.1645036j),(76.422803+600.6316189j),(75.253424+603.0987342j),(74.084045+605.5658495j),(72.914666+608.0329648j),(71.745287+610.5000801j),(70.575908+612.9671954j),(69.406529+615.4343107j),(68.23715+617.901426j),
(72.346453+602.966047j),(73.4896056+600.8898062j),(74.6327582+598.8135654j),(75.7759108+596.7373246j),(76.9190634+594.6610838j),(78.062216+592.584843j),(79.2053686+590.5086022j),(80.3485212+588.4323614j),(81.4916738+586.3561206j),(82.6348264+584.2798798j),(83.777979+582.203639j),
(69.567334+610.527156j),(69.8728211+609.7696997j),(70.1783082+609.0122434j),(70.4837953+608.2547871j),(70.7892824+607.4973308j),(71.0947695+606.7398745j),(71.4002566+605.9824182j),(71.7057437+605.2249619j),(72.0112308+604.4675056j),(72.3167179+603.7100493j),(72.622205+602.952593j),
(70.314048+395.325286j),(71.2074901+395.1838581j),(72.1009322+395.0424302j),(72.9943743+394.9010023j),(73.8878164+394.7595744j),(74.7812585+394.6181465j),(75.6747006+394.4767186j),(76.5681427+394.3352907j),(77.4615848+394.1938628j),(78.3550269+394.0524349j),(79.248469+393.911007j),
(70.428057+519.295439j),(71.6362625+519.4047147j),(72.844468+519.5139904j),(74.0526735+519.6232661j),(75.260879+519.7325418j),(76.4690845+519.8418175j),(77.67729+519.9510932j),(78.8854955+520.0603689j),(80.093701+520.1696446j),(81.3019065+520.2789203j),(82.510112+520.388196j),
(84.45508+522.453021j),(82.9537021+522.3822543j),(81.4523242+522.3114876j),(79.9509463+522.2407209j),(78.4495684+522.1699542j),(76.9481905+522.0991875j),(75.4468126+522.0284208j),(73.9454347+521.9576541j),(72.4440568+521.8868874j),(70.9426789+521.8161207j),(69.441301+521.745354j),
(79.966516+117.014952j),(80.0729414+116.7118663j),(80.1793668+116.4087806j),(80.2857922+116.1056949j),(80.3922176+115.8026092j),(80.498643+115.4995235j),(80.6050684+115.1964378j),(80.7114938+114.8933521j),(80.8179192+114.5902664j),(80.9243446+114.2871807j),(81.03077+113.984095j),
(85.280502+80.176459j),(84.8681025+79.1815989j),(84.455703+78.1867388j),(84.0433035+77.1918787j),(83.630904+76.1970186j),(83.2185045+75.2021585j),(82.806105+74.2072984j),(82.3937055+73.2124383j),(81.981306+72.2175782j),(81.5689065+71.2227181j),(81.156507+70.227858j),
